5.5794	13.1131	128.1388
-0.296	21.7453	124.3869
20.2677	11.0953	55.3467
3.0293	21.5578	115.5042
-4.2928	23.8601	119.3962
9.5866	23.1543	78.817
3.2913	16.9253	130.24
2.3403	25.3589	87.837
7.4575	24.1473	64.7128
9.2135	23.7542	71.2993
16.7439	17.3394	66.2455
3.4367	23.7163	103.0068
-1.7557	24.9604	105.8167
16.447	15.2865	73.0682
-0.8964	24.8391	105.7755
10.1805	14.362	104.6548
8.7217	12.5357	113.0349
5.9451	24.3694	65.2924
13.7841	21.299	63.2241
15.803	15.1123	76.7707
11.3188	22.5357	72.3733
2.999	23.9694	102.7267
15.7893	14.4346	77.6606
10.081	23.4168	67.9594
-3.5403	23.0976	123.8321
5.9909	17.221	118.5722
7.7235	13.8449	116.7869
17.0431	18.9622	46.9364
14.7263	19.4251	70.9752
-0.3905	25.1703	100.631
6.2587	14.9115	122.1126
1.0144	19.6775	129.3089
16.3808	16.1784	71.7608
4.6582	23.7123	98.6753
8.2923	24.0418	75.4193
12.3363	12.2648	95.5469
14.994	15.3613	80.5913
17.6796	16.379	63.0841
15.1458	17.153	76.4521
13.1052	14.9951	90.2788
8.3743	15.4357	111.6561
11.4701	22.5104	54.7259
11.8043	22.2278	71.8542
13.4742	20.6178	72.7743
17.3163	17.0012	63.4851
8.1527	18.6344	106.0941
19.2459	16.6188	45.3763
4.651	24.7658	88.7187
1.3219	25.2572	94.7778
9.2142	21.0611	93.6819
0.7645	19.8791	129.3117
3.824	23.4789	103.2046
-2.7311	24.5648	111.4693
7.6091	24.3346	71.6234
11.9791	12.6237	97.1894
0.525	23.1608	115.0015
10.288	23.0179	75.0568
7.2511	24.4123	76.5757
4.1787	16.5229	127.7378
8.9615	18.8582	102.0565
9.19	22.8527	52.1633
1.2003	20.9253	123.8458
10.6409	22.3769	50.0566
17.1052	15.8348	68.256
11.7837	15.9142	95.3574
6.5252	11.7231	124.7796
2.2055	18.3245	130.0835
9.2208	18.6655	101.4412
21.7232	10.9892	45.2307
14.4509	12.5809	85.387
17.8668	12.5879	68.2643
7.3263	24.0965	82.6458
10.3893	23.2689	63.7158
21.2232	12.571	46.236
11.4347	21.7797	78.5258
